0  0.355028
0.1  0.259225
0.2  0.163179
0.3  0.0668223
0.4  -0.0297185
0.5  -0.126124
0.6  -0.221884
0.7  -0.316297
0.8  -0.408482
0.9  -0.497386
1  -0.581802
1.1  -0.660392
1.2  -0.731712
1.3  -0.794248
1.4  -0.846461
1.5  -0.88683
1.6  -0.913907
1.7  -0.926378
1.8  -0.923122
1.9  -0.903277
2  -0.866301
2.1  -0.812035
2.2  -0.740757
2.3  -0.653226
2.4  -0.550715
2.5  -0.435031
2.6  -0.308514
2.7  -0.174015
2.8  -0.0348507
2.9  0.105264
3  0.24231
3.1  0.372083
3.2  0.49033
3.3  0.592911
3.4  0.675963
3.5  0.736086
3.6  0.770513
3.7  0.77728
3.8  0.755379
3.9  0.704869
4  0.626969
4.1  0.524089
4.2  0.399813
4.3  0.258826
4.4  0.106773
4.5  -0.0499352
4.6  -0.204379
4.7  -0.349432
4.8  -0.478103
4.9  -0.583897
5  -0.661182
5.1  -0.705534
5.2  -0.714052
5.3  -0.685601
5.4  -0.620981
5.5  -0.522992
5.6  -0.396388
5.7  -0.247712
5.8  -0.0850089
5.9  0.0825734
6  0.24528
6.1  0.393318
6.2  0.517462
6.3  0.60967
6.4  0.663658
6.5  0.675391
6.6  0.643462
6.7  0.569306
6.8  0.457233
6.9  0.314265
7  0.149762
7.1  -0.0251352
7.2  -0.19823
7.3  -0.357109
7.4  -0.490053
7.5  -0.586936
7.6  -0.64006
7.7  -0.644841
7.8  -0.600289
7.9  -0.509228
8  -0.37822
8.1  -0.217178
8.2  -0.038691
8.3  0.142917
8.4  0.312716
8.5  0.456403
8.6  0.561548
8.7  0.61873
8.8  0.622465
8.9  0.571826
9  0.470681
9.1  0.327511
9.2  0.154788
9.3  -0.0320379
9.4  -0.215876
9.5  -0.379552
9.6  -0.507428
9.7  -0.586962
9.8  -0.610007
9.9  -0.573758
10  -0.481182
